;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 1.476   0.31097   0.00933  179.
 1.478   0.31057   0.00932  179.
 1.480   0.31021   0.00931  179.
 1.482   0.30935   0.00928  180.
 1.484   0.30778   0.00923  180.
 1.486   0.30592   0.00918  180.
 1.488   0.30470   0.00914  180.
 1.490   0.30462   0.00914  180.
 1.492   0.30510   0.00915  180.
 1.494   0.30512   0.00915  180.
 1.496   0.30414   0.00912  180.
 1.498   0.30205   0.00906  181.
 1.500   0.29889   0.00897  181.
 1.502   0.29525   0.00886  181.
 1.504   0.29255   0.00878  181.
 1.506   0.29194   0.00876  181.
 1.508   0.29300   0.00879  181.
 1.510   0.29426   0.00883  181.
 1.512   0.29466   0.00884  181.
 1.514   0.29422   0.00883  181.
 1.516   0.29335   0.00880  181.
 1.518   0.29232   0.00877  181.
 1.520   0.29120   0.00874  181.
 1.522   0.29014   0.00870  181.
 1.524   0.28921   0.00868  181.
 1.526   0.28827   0.00865  181.
 1.528   0.28714   0.00861  181.
 1.530   0.28589   0.00858  181.
 1.532   0.28472   0.00854  181.
 1.534   0.28366   0.00851  181.
 1.536   0.28255   0.00848  181.
 1.538   0.28140   0.00844  181.
 1.540   0.28045   0.00841  181.
 1.542   0.27982   0.00839  181.
 1.544   0.27926   0.00838  181.
 1.546   0.27839   0.00835  181.
 1.548   0.27717   0.00831  181.
 1.550   0.27583   0.00827  181.
 1.552   0.27458   0.00824  181.
 1.554   0.27355   0.00821  181.
 1.556   0.27284   0.00819  181.
 1.558   0.27243   0.00817  181.
 1.560   0.27209   0.00816  181.
 1.562   0.27151   0.00815  181.
 1.564   0.27059   0.00812  181.
 1.566   0.26945   0.00808  181.
 1.568   0.26823   0.00805  181.
 1.570   0.26679   0.00800  181.
 1.572   0.26488   0.00795  181.
 1.574   0.26264   0.00788  181.
 1.576   0.26081   0.00782  181.
 1.578   0.25995   0.00780  181.
 1.580   0.25975   0.00779  181.
 1.582   0.25930   0.00778  180.
 1.584   0.25793   0.00774  180.
 1.586   0.25577   0.00767  180.
 1.588   0.25374   0.00761  180.
 1.590   0.25291   0.00759  180.
 1.592   0.25354   0.00761  180.
 1.594   0.25480   0.00764  180.
 1.596   0.25564   0.00767  180.
 1.598   0.25560   0.00767  180.
 1.600   0.25484   0.00765  180.
 1.602   0.25367   0.00761  180.
 1.604   0.25226   0.00757  180.
 1.606   0.25065   0.00752  180.
 1.608   0.24890   0.00747  180.
 1.610   0.24722   0.00742  180.
 1.612   0.24582   0.00737  180.
 1.614   0.24473   0.00734  180.
 1.616   0.24390   0.00732  180.
 1.618   0.24340   0.00730  180.
 1.620   0.24332   0.00730  180.
 1.622   0.24364   0.00731  180.
 1.624   0.24411   0.00732  180.
